DOI,IEEE Terms,numPages,title,year
10.1109/MSR66628.2025.00021,Computer bugs;Software quality;Machine learning;Predictive models;Data mining,11,Enhancing Just-In-Time Defect Prediction Models with Developer-Centric Features.,2025
10.1109/MSR66628.2025.00105,Surveys;Software testing;Large language models;Companies;Writing;Software;Data mining;Faces;Business,12,Automatic High-Level Test Case Generation using Large Language Models.,2025
10.1109/MSR59073.2023.00073,Ecosystems;Semantics;Computer bugs;Manuals;Metadata;Licenses;Software,13,A Large Scale Analysis of Semantic Versioning in NPM.,2023
10.1145/3524842.3528437,Training;Computer architecture;Predictive models;Generative adversarial networks;Software;Data models;Security,12,Dazzle: Using Optimized Generative Adversarial Networks to Address Security Data Class Imbalance Issue.,2022
10.1109/MSR59073.2023.00078,Ecosystems;Containers;Licenses;Metadata;Software;Security;Data mining,11,"Helm Charts for Kubernetes Applications: Evolution, Outdatedness and Security Risks.",2023
10.1109/MSR59073.2023.00043,Codes;Market research;Software;Data mining;Software engineering,13,Unveiling the Relationship Between Continuous Integration and Code Coverage.,2023
10.1109/MSR52588.2021.00028,Manuals;Tools;Maintenance engineering;Inspection;Software systems;Complexity theory;Task analysis,12,On the Naturalness and Localness of Software Logs.,2021
10.1109/MSR66628.2025.00020,Systematics;Computer bugs;Static analysis;Software systems;Software;Libraries;Complexity theory;Testing;Software development management;Python,13,It's About Time: An Empirical Study of Date and Time Bugs in Open-Source Python Software.,2025
10.1145/3524842.3528458,Deep learning;Codes;Software algorithms;Detectors;Prediction algorithms;Software;Feedforward neural networks,11,How to Improve Deep Learning for Software Analytics (a case study with code smell detection).,2022
10.1145/3643991.3644897,Training;Measurement;Java;Heuristic algorithms;Training data;Machine learning;Software,12,On the Effectiveness of Machine Learning-based Call Graph Pruning: An Empirical Study.,2024
10.1109/MSR52588.2021.00034,Training;Software testing;Vocabulary;Java;Predictive models;Tools;Feature extraction,11,A Replication Study on the Usability of Code Vocabulary in Predicting Flaky Tests.,2021
10.1109/MSR59073.2023.00052,Deep learning;Codes;Source coding;Soft sensors;Scalability;Image edge detection;Smart contracts,13,MANDO-HGT: Heterogeneous Graph Transformers for Smart Contract Vulnerability Detection.,2023
10.1109/MSR59073.2023.00086,Deep learning;Computer bugs;Companies;Software;Censorship;Mobile applications;Internet,13,A Study of Gender Discussions in Mobile Apps.,2023
10.1109/MSR66628.2025.00081,Measurement;Codes;Large language models;Radon;Programming;Benchmark testing;Software;Quality assessment;Reliability;Data mining,12,Can LLMs Generate Higher Quality Code Than Humans? An Empirical Study.,2025
10.1109/MSR59073.2023.00033,Productivity;Codes;Unified modeling language;Semantics;Syntactics;Writing;Reliability engineering,10,On Codex Prompt Engineering for OCL Generation: An Empirical Study.,2023
10.1109/MSR52588.2021.00057,Education;Containers;Tools;Market research;Cognition;History;Data mining,11,Revisiting Dockerfiles in Open Source Software Over Time.,2021
10.1145/3643991.3644900,Ethics;Law;Licenses;Metadata;Market research;Data mining;Open source software,12,A Large-Scale Empirical Study of Open Source License Usage: Practices and Challenges.,2024
10.1145/3524842.3528448,Industries;Computer languages;Codes;Production;Size measurement;Software;Velocity measurement,12,Do Small Code Changes Merge Faster? A Multi-Language Empirical Investigation.,2022
10.1109/MSR66628.2025.00106,Systematics;Large language models;Documentation;Software;Software reliability;Prompt engineering;Data mining;Software development management;Testing;Software engineering,13,Prompting in the Wild: An Empirical Study of Prompt Evolution in Software Repositories.,2025
10.1109/MSR66628.2025.00107,Context;Large language models;Prototypes;Oral communication;Software;Browsers;Data mining;Faces;Software development management;Message systems,13,Towards Detecting Prompt Knowledge Gaps for Improved LLM-guided Issue Resolution.,2025
10.1109/MSR66628.2025.00019,Accuracy;Annotations;Computer bugs;Focusing;Documentation;Software;Data mining;Videos,12,An Empirical Study on Leveraging Images in Automated Bug Report Reproduction.,2025
10.1145/3524842.3528432,Codes;Delay effects;Merging;Switches;Software;Delays;Data mining,12,Mining Code Review Data to Understand Waiting Times Between Acceptance and Merging: An Empirical Analysis.,2022
10.1109/MSR52588.2021.00016,Training;Training data;Tagging;Tools;Syntactics;Feature extraction;Natural language processing,12,Automatic Part-of-Speech Tagging for Security Vulnerability Descriptions.,2021
10.1145/3643991.3644935,Geography;Ecosystems;Linguistics;Software;Monopoly;Cultural differences;Stakeholders,13,Global Prosperity or Local Monopoly? Understanding the Geography of App Popularity.,2024
10.1145/3524842.3527934,Transfer learning;Buildings;Estimation;Software quality;Forestry;Predictive models;Stability analysis,13,Methods for Stabilizing Models Across Large Samples of Projects (with case studies on Predicting Defect and Project Health).,2022
10.1145/3643991.3644923,Training;Adaptation models;Computer languages;Codes;Accuracy;Supervised learning;Training data,13,Data Augmentation for Supervised Code Translation Learning.,2024
10.1109/MSR66628.2025.00030,Industries;Databases;Prevention and mitigation;Blogs;Web pages;Maintenance engineering;Software;Security;Data mining;Systematic literature review,13,From Industrial Practices to Academia: Uncovering the Gap in Vulnerability Research and Practice.,2025
10.1145/3524842.3528433,Measurement;Correlation coefficient;Codes;Machine learning;Predictive models;Software;Data models,13,On the Use of Fine-grained Vulnerable Code Statements for Software Vulnerability Assessment Models.,2022
10.1109/MSR52588.2021.00029,Measurement;Software maintenance;Computer bugs;Software quality;Data mining;Open source software;Software development management,12,Automatically Selecting Follow-up Questions for Deficient Bug Reports.,2021
10.1145/3643991.3644916,Measurement;Accuracy;Semantics;Microservice architectures;Software;Natural language processing;Data mining,12,MicroRec: Leveraging Large Language Models for Microservice Recommendation.,2024
10.1145/3643991.3644906,Codes;Software;Meteors;Data mining;Software development management,12,GIRT-Model: Automated Generation of Issue Report Templates.,2024
10.1145/3524842.3527951,Measurement;Throughput;Data structures;Computer crashes;Indexes;Data mining;Open source software,12,FaST: A linear time stack trace alignment heuristic for crash report deduplication.,2022
10.1145/3643991.3644903,Annotations;Computational modeling;Scalability;Supervised learning;Manuals;Software;Data models,12,Leveraging GPT-like LLMs to Automate Issue Labeling.,2024
10.1145/3524842.3528457,Training;Analytical models;Uncertainty;Semantics;Training data;Organizations;Predictive models,13,Beyond Duplicates: Towards Understanding and Predicting Link Types in Issue Tracking Systems.,2022
10.1109/MSR66628.2025.00085,Systematics;Ecosystems;Production;Software;Data mining;Standards;Creativity;Software development management;Testing;Software engineering,13,The Ecosystem of Open-Source Music Production Software - A Mining Study on the Development Practices of VST Plugins on GitHub.,2025
10.1109/MSR52588.2021.00055,Visualization;Analytical models;Privacy;Software quality;Predictive models;Data models;Data mining,12,Practitioners' Perceptions of the Goals and Visual Explanations of Defect Prediction Models.,2021
10.1145/3524842.3527963,Codes;Ecosystems;Computer bugs;Security;Data mining;Task analysis;Open source software,12,Do Customized Android Frameworks Keep Pace with Android?,2022
10.1109/MSR52588.2021.00035,Computer bugs;Semantics;Syntactics;Predictive models;Feature extraction;Software;Data mining,12,Leveraging Models to Reduce Test Cases in Software Repositories.,2021
10.1145/3643991.3644915,Codes;Machine learning;Market research;Software;Data mining;Software development management;Testing,12,How do Machine Learning Projects use Continuous Integration Practices? An Empirical Study on GitHub Actions.,2024
10.1145/3643991.3644932,Measurement;Analytical models;Web services;Documentation;Market research;Particle measurements;Software,13,APIstic: A Large Collection of OpenAPI Metrics.,2024
10.1109/MSR59073.2023.00018,Industries;Machine learning;Debugging;Reliability engineering;Libraries;Software;Software reliability,12,Characterizing and Understanding Software Security Vulnerabilities in Machine Learning Libraries.,2023
10.1145/3643991.3644907,Training;Analytical models;Software libraries;Computational modeling;Supply chains;Metadata;Licenses,13,PeaTMOSS: A Dataset and Initial Analysis of Pre-Trained Models in Open-Source Software.,2024
10.1145/3643991.3644936,Software maintenance;Accuracy;Operating systems;Metadata;Mobile applications;Maintenance;Data mining,13,GuiEvo: Automated Evolution of Mobile Application GUIs.,2024
10.1109/MSR59073.2023.00059,User interfaces;Software;Data mining;Task analysis,12,Understanding the Role of Images on Stack Overflow.,2023
10.1109/MSR66628.2025.00017,Codes;Runtime;Market research;Software;Libraries;Encoding;Data mining;Monitoring;Videos;Software development management,13,Learning from Mistakes: Understanding Ad-hoc Logs through Analyzing Accidental Commits.,2025
10.1145/3524842.3528467,Codes;Semantics;Static analysis;Syntactics;Software;Reflection;Generators,12,Complex Python Features in the Wild.,2022
10.1109/MSR66628.2025.00069,Production systems;Correlation;DevOps;Programming;Reproducibility of results;Software;Data mining;Monitoring;Systematic literature review;Software engineering,12,It Works (only) on My Machine: A Study on Reproducibility Smells in Ansible Scripts.,2025
10.1109/MSR59073.2023.00031,Computer languages;C++ languages;Software;Data mining;Software development management,12,Wasmizer: Curating WebAssembly-driven Projects on GitHub.,2023
10.1109/MSR66628.2025.00043,Training;Codes;Reviews;Data integrity;Large language models;Noise;Training data;Predictive models;Cleaning;Noise measurement,13,Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation.,2025
